"reviewStatus","reviewer","reviewNotes","bookTitle","grade","term","readingType","regionId","chapterTitle","questionType","difficulty","prompt","options","answerIndex","answerText","answerRubric","successResponse","retryResponse","sourceLabel","sourceExcerpt","bookId","chapterId","questionId"
"pending","","","365夜故事","1","上册","必读","magic-forest","02.雪孩子","memory","1","林间守护者轻声问：刚才这段里，哪个线索最值得记住？","妈妈我也去我也去 | 不你不能去 | 不我要去我要去","0","妈妈我也去我也去","","林间守护者点点头：对，就是这个线索。你已经抓住故事里的关键了。","林间守护者提醒你：回到刚才读过的片段，找一找反复出现或推动情节的词。","《365夜故事》·02.雪孩子","雪花把树枝盖得满满的，压得弯弯的，地面上粉白
一片，小木屋的屋顶上像铺了一条厚厚的绒被子。","local-1年级-一年级上册必读-365夜故事","local-1年级-一年级上册必读-365夜故事-chapter-1","local-1年级-一年级上册必读-365夜故事-chapter-1-q1"
"pending","","","365夜故事","1","上册","必读","magic-forest","02.雪孩子","plot_choice","2","林间守护者摊开地图：如果要继续冒险，下面哪个行动最像这一段故事接下来会发生的事？","沿着“妈妈我也去我也去”这条线索继续找 | 先离开故事去做别的事 | 假装什么都没有发生","0","沿着“妈妈我也去我也去”这条线索继续找","","林间守护者露出笑容：没错，真正的冒险者会顺着故事线索往前走。","林间守护者指了指书页：想一想，这一段里什么事情让故事继续前进？","《365夜故事》·02.雪孩子","一起跳舞又唱歌，
身上真暖和，心里也快活……
雪孩子正高兴着呢，忽然看见小木屋的窗口里，呼呼地冒出烟来，
不一会儿，又冒出火光来。","local-1年级-一年级上册必读-365夜故事","local-1年级-一年级上册必读-365夜故事-chapter-1","local-1年级-一年级上册必读-365夜故事-chapter-1-q2"
"pending","","","365夜故事","1","上册","必读","magic-forest","02.雪孩子","npc_dialogue","2","林间守护者说：请用一句话告诉我，这段故事里发生了什么重要变化？","","","围绕“妈妈我也去我也去”说明故事变化","提到“妈妈我也去我也去”或同义线索 | 能说明人物、事件或情绪的变化 | 不是只抄一句无关原文","林间守护者把这条线索记进冒险日志：说得好，我们可以继续前进了。","林间守护者温和地说：可以再具体一点，说说谁做了什么，或者发生了什么变化。","《365夜故事》·02.雪孩子","这朵白云跟雪孩子一模一样，还笑着向小白兔招手呢。","local-1年级-一年级上册必读-365夜故事","local-1年级-一年级上册必读-365夜故事-chapter-1","local-1年级-一年级上册必读-365夜故事-chapter-1-q3"
"pending","","","365夜故事","1","上册","必读","magic-forest","04.星星树","memory","1","林间守护者轻声问：刚才这段里，哪个线索最值得记住？","星星 | 傻星星 | 我就送你走","0","星星","","林间守护者点点头：对，就是这个线索。你已经抓住故事里的关键了。","林间守护者提醒你：回到刚才读过的片段，找一找反复出现或推动情节的词。","《365夜故事》·04.星星树","〔美〕托比·斯皮德著　白冰译
很久很久以前，当星星们最初在天上编织出图案时，它们不时地到
处游历。","local-1年级-一年级上册必读-365夜故事","local-1年级-一年级上册必读-365夜故事-chapter-2","local-1年级-一年级上册必读-365夜故事-chapter-2-q1"
"pending","","","365夜故事","1","上册","必读","magic-forest","04.星星树","plot_choice","2","林间守护者摊开地图：如果要继续冒险，下面哪个行动最像这一段故事接下来会发生的事？","沿着“星星”这条线索继续找 | 先离开故事去做别的事 | 假装什么都没有发生","0","沿着“星星”这条线索继续找","","林间守护者露出笑容：没错，真正的冒险者会顺着故事线索往前走。","林间守护者指了指书页：想一想，这一段里什么事情让故事继续前进？","《365夜故事》·04.星星树","刹那间，公主跳了起来，把两半苹果往一起一拍，
扣住了小星星。","local-1年级-一年级上册必读-365夜故事","local-1年级-一年级上册必读-365夜故事-chapter-2","local-1年级-一年级上册必读-365夜故事-chapter-2-q2"
"pending","","","365夜故事","1","上册","必读","magic-forest","04.星星树","npc_dialogue","2","林间守护者说：请用一句话告诉我，这段故事里发生了什么重要变化？","","","围绕“星星”说明故事变化","提到“星星”或同义线索 | 能说明人物、事件或情绪的变化 | 不是只抄一句无关原文","林间守护者把这条线索记进冒险日志：说得好，我们可以继续前进了。","林间守护者温和地说：可以再具体一点，说说谁做了什么，或者发生了什么变化。","《365夜故事》·04.星星树","在
它飞走之前，它在所有的苹果中，都留下了星星的印迹。","local-1年级-一年级上册必读-365夜故事","local-1年级-一年级上册必读-365夜故事-chapter-2","local-1年级-一年级上册必读-365夜故事-chapter-2-q3"
"pending","","","365夜故事","1","上册","必读","magic-forest","09.糖猫","memory","1","林间守护者轻声问：刚才这段里，哪个线索最值得记住？","糖猫 | 胆大的老鼠 | 猫大王你会捉老鼠吗","0","糖猫","","林间守护者点点头：对，就是这个线索。你已经抓住故事里的关键了。","林间守护者提醒你：回到刚才读过的片段，找一找反复出现或推动情节的词。","《365夜故事》·09.糖猫","根据钟子芒同名童话改编
你见过糖猫吗？","local-1年级-一年级上册必读-365夜故事","local-1年级-一年级上册必读-365夜故事-chapter-3","local-1年级-一年级上册必读-365夜故事-chapter-3-q1"
"pending","","","365夜故事","1","上册","必读","magic-forest","09.糖猫","plot_choice","2","林间守护者摊开地图：如果要继续冒险，下面哪个行动最像这一段故事接下来会发生的事？","沿着“糖猫”这条线索继续找 | 先离开故事去做别的事 | 假装什么都没有发生","0","沿着“糖猫”这条线索继续找","","林间守护者露出笑容：没错，真正的冒险者会顺着故事线索往前走。","林间守护者指了指书页：想一想，这一段里什么事情让故事继续前进？","《365夜故事》·09.糖猫","”
三只老鼠看见糖猫没有来追他们，又叫他们自己走过去，觉得很奇
怪，心想：这只猫大概没有学过捉老鼠的本领吧。","local-1年级-一年级上册必读-365夜故事","local-1年级-一年级上册必读-365夜故事-chapter-3","local-1年级-一年级上册必读-365夜故事-chapter-3-q2"
"pending","","","365夜故事","1","上册","必读","magic-forest","09.糖猫","npc_dialogue","2","林间守护者说：请用一句话告诉我，这段故事里发生了什么重要变化？","","","围绕“糖猫”说明故事变化","提到“糖猫”或同义线索 | 能说明人物、事件或情绪的变化 | 不是只抄一句无关原文","林间守护者把这条线索记进冒险日志：说得好，我们可以继续前进了。","林间守护者温和地说：可以再具体一点，说说谁做了什么，或者发生了什么变化。","《365夜故事》·09.糖猫","糖猫急了，想逃，可是他
的四只脚已经被老鼠吃掉了，他跑不了啦。","local-1年级-一年级上册必读-365夜故事","local-1年级-一年级上册必读-365夜故事-chapter-3","local-1年级-一年级上册必读-365夜故事-chapter-3-q3"
"pending","","","小巴掌童话","1","上册","必读","magic-forest","小巴掌童话 片段 1","memory","1","林间守护者轻声问：刚才这段里，哪个线索最值得记住？","来吧 | 每人五颗 | 不用","0","来吧","","林间守护者点点头：对，就是这个线索。你已经抓住故事里的关键了。","林间守护者提醒你：回到刚才读过的片段，找一找反复出现或推动情节的词。","《小巴掌童话》·小巴掌童话 片段 1","他爱讲话，爱做小动作，还爱胡思乱想。","local-1年级-一年级上册必读-小巴掌童话","local-1年级-一年级上册必读-小巴掌童话-chapter-1","local-1年级-一年级上册必读-小巴掌童话-chapter-1-q1"
